"ZSID","bezeichnung","EKoord","NKoord","Richtung","MotAvrg","MotTotal"
"Z090","Winterthurerstrasse (Luchswiesenstrasse)",2686453,1251269,"einwärts",47.10917702782678,8760
"Z090","Winterthurerstrasse (Luchswiesenstrasse)",2686466,1251268,"auswärts",43.12063351095325,8760
"Z091","Dreikönigstrasse (Genferstrasse)",2682703,1246710,"Talstrasse",92.00588896780312,8760
"Z092","Am Wasser (Hardeggstrasse)",2680351.25,1250143.93,"einwärts",45.91070496083546,8760
"Z092","Am Wasser (Hardeggstrasse)",2680353.27,1250146.37,"auswärts",21.3969973890339,8760
"Z093","Hardturmstrasse (Bernoullihäuser)",2680756.38,1249768.58,"auswärts",38.9672758315415,8760
"Z093","Hardturmstrasse (Bernoullihäuser)",2680804.49,1249763.88,"einwärts",43.0752369668245,8760
"Z095","Schwamendingerstrasse (Dörflistrasse)",2683960.76,1251252.12,"Schwamendingen",38.870219064535114,8760
"Z095","Schwamendingerstrasse (Dörflistrasse)",2683962.29,1251255.28,"Oerlikon",52.17841918294869,8760
"Z096","Katzenschwanzstrasse (Witikonerstrasse)",2687484.89,1246164.33,"einwärts",27.485514860402212,8760
"Z096","Katzenschwanzstrasse (Witikonerstrasse)",2687489.57,1246167.45,"auswärts",29.033398378865172,8760
"Z097","Hofwiesenstrasse (Brunnenhofweg)",2682704.5,1250615.65,"Bucheggplatz",102.5345643939393,8760
"Z097","Hofwiesenstrasse (Brunnenhofweg)",2682722.32,1250622.32,"Oerlikon",75.58516808712065,8760
